Size,IsPolytopal
AbstractRotaryPolytope([ 42, 21 ], "(s1^-1*s2^-1)^2, s1^-3*s2^-5*s1^-1*s2, s1^-2*s2^5*s1^-7*(s1^-2*s2)^2*s1^-1, s1*s2^-1*s1^-2*s2*s1^3*s2*s1^-1*s2*s1")#2016#true
RotaryManiplex([ 18, 72 ], "(s2^-2*s1*s2^-2)^3*s1^3, s2^-1*s1^-3*s2^2*s1*s2^-1*s1^-1*s2*s1*s2^-3, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2^2*s1^5*s2^2*s1^-1")#2016#false
RotaryManiplex([ 18, 72 ], "(s2^-1*s1^5*s2^-1)^2*s1^4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*s2^5*s1^-1*s2^-2*s1^2*s2^-1, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2*s1^7*s2*s1^-5, s2^2*s1^-2*(s2^-1*s1)^3*s2*s1^-1")#2016#false
RotaryManiplex([ 72, 18 ], "s1^-2*s2^-1*s1^5*s2*s1^-1*s2^2, s1*s2^-1*s1^-1*s2*s1^3*s2^-1*s1^-3*s2, (s2*s1^-3)^2*s2*s1^-1*s2*(s2*s1^-2)^2*s1^-1")#2016#false
RotaryManiplex([ 72, 18 ], "s1^-1*s2^-1*s1*s2*s1^-2*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2, s1*s2^-1*s1^5*s2^-1*(s2^-1*s1^2)^2*s1^4, s2^2*s1^3*s2^-1*s1*s2*s1^-2")#2016#false
RotaryManiplex([ 36, 36 ], "(s2^-2*s1*s2^-2)^7*s1, s1^-2*s2*s1^-1*s2^-2*s1^3*s2, s2^2*s1^5*s2^2*s1^-1")#2016#false
RotaryManiplex([ 36, 36 ], "s2^-1*s1^2*(s1^2*s2^-3*s1*s2^-1)^4*s1^3*s2^-1*s1, s1^-1*s2^-1*s1^6*s2*s1^-5, s2*s1^-1*s2^-1*s1^2*s2^-1*s1*s2*s1^-2, s2*s1^-1*s2^3*s1*s2^-2*s1^2")#2016#false
RotaryManiplex([ 28, 56 ], "s1^2*(s1^2*s2^-2)^2*(s1*s2^-1)^2, s1*s2^4*s1*s2^-1*s1^-2*s2^-3, s2*s1^5*s2*s1^-3, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#2016#false
RotaryManiplex([ 56, 28 ], "s2^-1*(s1^-1*s2)^2*s1^2*s2^-2*s1^-1*s2*s1, s1^-2*s2*s1^4*s2*s1^-1*s2^-1*s1*s2, s1*s2^-1*s1^4*(s1^2*s2^-1)^2*s1*s2^-1, s2*(s1*s2^-1)^2*s1^2*s2^-1*s1^-1*s2*s1^-3*s2")#2016#false
RotaryManiplex([ 36, 72 ], "s2^-1*s1^-3*s2^2*s1*s2^-1*s1^-1*s2*s1*s2^-3, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2^2*s1^-2*s2^3*s1^-1*s2*(s2*s1^-3)^2*s1^-1, s2^2*s1^5*s2^2*s1^-1")#2016#false
RotaryManiplex([ 36, 72 ], "s1^-9*(s2*s1^-2*s2)^2*s1^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2*s1^7*s2*s1^-5, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1, s2^2*s1^-2*s2*s1^-1*s2^-5*s1")#2016#false
RotaryManiplex([ 72, 36 ], "s1^-2*s2^-1*s1^5*s2*s1^-1*s2^2, s1*s2^-1*s1^-1*s2*s1^3*s2^-1*s1^-3*s2, s2*(s1^-3*s2*s1^-1)^2*s2^2*s1^-4*s2")#2016#false
RotaryManiplex([ 72, 36 ], "s1^-1*s2^-1*s1*s2*s1^-2*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2, s1^10*s2^-2*s1*(s1*s2^-1)^2*s1, s2^2*s1^3*s2^-1*s1*s2*s1^-2")#2016#false
RotaryManiplex([ 56, 56 ], "(s2^-1*s1*s2^-3)^11*s1, s1^-1*s2*s1^5*s2^3, s2*s1*s2^-1*s1^2*s2*s1^-1*s2")#2016#false
RotaryManiplex([ 72, 72 ], "(s2^-1*s1^5*s2^-1)^2*s2^-1*(s2^-1*s1^2)^2*(s1^2*s2^-2)^2*s1^5*s2^-1*s1, s2*s1^7*s2*s1^-5, s2^2*s1^-1*s2*s1^2*s2^-2*s1*s2, s2^2*s1^3*s2^-1*s1*s2*s1^-2")#2016#false
RotaryManiplex([ 72, 72 ], "s1^-1*s2*s1^2*s2^-1*s1^2*s2^2*s1^-1, s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-2*s2")#2016#false
RotaryManiplex([ 72, 72 ], "(s2^-1*s1^2*s2^-1)^18, s1*s2^3*s1*s2^-1*s1^-1*s2*s1*s2^-1, s2*s1^4*s2*s1^-2")#2016#false
