Size,IsPolytopal
RotaryManiplex([ 15, 30 ], "(s2^-1*s1^4*s2^-1)^2*s1^3, s1^-2*s2*s1^-1*s2^-3*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1^2*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2^-1*s1^2*s2^-1*s1^-2*s2*s1^-1*s2^-1*s1^3*s2*s1^-1, s2*s1^6*s2*s1^-4")#9060#false
RotaryManiplex([ 15, 30 ], "(s2^-1*s1^4*s2^-1)^2*s1^3, s1^3*(s2*s1^-1)^2*s2*s1^2*s2^-2*s1^-1*s2*s1*s2^-1*s1^-1*s2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2^-1*s1^2*s2^-1*s1^-2*s2*s1^-1*s2^-1*s1^3*s2*s1^-1, s2*s1^6*s2*s1^-4")#9060#false
RotaryManiplex([ 15, 30 ], "(s2^-1*s1^2*s2^-1)^2*s2^-6*s1, s2*s1^-2*(s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-2*s1*s2^2*(s2*s1^-1)^2*(s2^-2*s1)^2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-1*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#9060#false
AbstractRotaryPolytope([ 15, 30 ], "s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2*s1^-1*s2, s2^3*s1^7*s2^2*s1^2*s2*s1^-3")#9060#true
AbstractRotaryPolytope([ 15, 30 ], "s1^2*s2^3*s1*s2^-2*s1^-1*s2, s2^2*s1^-4*(s1^-2*s2)^2*s2^2*s1^-1")#9060#true
AbstractRotaryPolytope([ 15, 30 ], "s1^-1*s2*s1^-2*s2^-3*s1*(s2^-1*s1*s2*s1^-1)^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1*s2^-2*s1^3*(s2*s1^-1)^2*s2")#9060#true
AbstractRotaryPolytope([ 15, 30 ], "s1^-1*(s2^-1*s1)^2*s1^3*s2*s1^-4*s2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-2*s2^-3*s1^3*s2^-1*s1*(s2*s1^-1)^2*s2")#9060#true
RotaryManiplex([ 30, 15 ], "s2^-1*s1^3*s2^-2*s1^4*s2^-4*s1, s1^-2*s2^-3*s1^4*s2^2*s1^-2*s2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^2*s2^-1*s1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s2^2, s2*s1^2*(s2*s1^-1)^2*s2^-2*s1^5*s2*s1^-3")#9060#false
RotaryManiplex([ 30, 15 ], "s2^-1*s1^3*s2^-2*s1^4*s2^-4*s1, s1^-2*s2^-3*s1^4*s2^2*s1^-2*s2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*s2*s1^-3*s2*s1^3*(s1*s2^-1*s1^-1*s2)^2*s1")#9060#false
RotaryManiplex([ 30, 15 ], "(s1*s2^-1)^4*s1^2*s2^-2*s1^2*s2^-1, s2*s1*(s1^2*s2*s1^-2*s2^-1)^3*s1^2*s2^-1*s1^2*(s2*s1^-1)^2*(s1^-1*s2^-1*s1*s2)^2*s1^-2*s2^-1*s1^2*s2*s1^-1, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#9060#false
AbstractRotaryPolytope([ 30, 15 ], "(s1^-1*s2)^2*s1^3*s2^-2*s1*s2^2, (s1^4*s2^-1)^3, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2^2*s1*s2^-1*s1^5*s2*s1^-1*s2^2*s1^-1")#9060#true
AbstractRotaryPolytope([ 30, 15 ], "s1^-1*s2*s1^7*s2*s1^-1*s2^2*s1^-1, (s1^4*s2^-1)^3, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#9060#true
AbstractRotaryPolytope([ 30, 15 ], "(s1^4*s2^-1)^3, s1^5*(s1^2*s2^-1)^2*s1*s2^-3, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2*s1^-1*s2")#9060#true
AbstractRotaryPolytope([ 30, 15 ], "(s1*s2^-1)^2*s1^5*s2^-2*s1^3*s2^-1, (s1^4*s2^-1)^3, s1*s2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1")#9060#true
AbstractRotaryPolytope([ 3, 6 ], "(s2^2*s1^-1)^12*s2^2*s1*s2^-2*s1^-1*((s2*s1^-1*s2)^5*s2)^2*(s1^-1*s2^2)^5*s1^-1")#9072#true
AbstractRotaryPolytope([ 6, 3 ], "s2*s1^-3*(s2*s1^-2*s2^-1*s1^2)^4*s2*(s1^-1*s2*s1^-1)^4*s1^-2*(s2^-1*s1^2)^15*s2*s1^-1")#9072#true
AbstractRotaryPolytope([ 3, 12 ], "s2^2*s1^-1*((s2^2*s1^-1)^2*s2*s1^-1*s2)^3*(s2^2*s1^-1)^5, (s2^2*s1^-1*s2^2)^3")#9072#true
AbstractRotaryPolytope([ 12, 3 ], "s1^-1*(s1^-1*s2)^2*s1^5*s2^-1*s1^-2*s2*s1^-4, (s1^4*s2^-1)^3, s1*(s2*s1^-1)^2*s1^-2*s2^-1*s1^2*s2*s1^-2*s2^-1*s1^2*s2^-1*s1^-1*(s1^-2*s2)^3*s1^-3*s2^-1*s1^2*s2*s1^-2*s2^-1*s1*(s1*s2^-1*s1^-2*s2)^2*s1^2")#9072#true
AbstractRotaryPolytope([ 3, 18 ], "(s2^3*s1^-1*s2^4*s1^-1)^2, s2^3*s1^2*s2^-4*s1*s2^-2*s1^-1*s2^2*(s2*s1^-1)^3*s2^2*s1^-1")#9072#true
AbstractRotaryPolytope([ 3, 18 ], "(s2*s1^-1*s2)^4*s2*s1^-1*(s2^2*s1^-1*(s2*s1^-1*s2)^3)^2*(s2^2*s1^-1)^5*s2, (s2^2*s1^-1*s2^2)^3, s2^5*(s2*s1^-1)^6*s2")#9072#true
AbstractRotaryPolytope([ 18, 3 ], "(s2^-1*s1^5*s2^-1)^2*s1^4, s2*s1^7*s2*s1^-5, s2*s1*(s1^2*s2*s1^-2*s2^-1)^4*(s1^2*s2^-1)^6*s1^2*s2*s1^-2*s2^-1*s1^2*s2*s1^-1")#9072#true
AbstractRotaryPolytope([ 18, 3 ], "((s1*s2^-1*s1^2)^2*s1)^2, s1^2*s2*s1^-2*s2*s1^2*s2^-1*s1^3*s2^-1*s1^-3*(s1^-1*s2)^2*s1^2, s2*s1^-2*s2*s1^6*s2^-1*s1^3*s2*s1^-5")#9072#true
AbstractRotaryPolytope([ 3, 36 ], "s1^-1*s2^9*s1*s2^-5*(s2^-1*s1)^2*s2^-7*s1*s2^-1, s2*s1^-1*s2^6*s1^-1*s2*(s2*s1^-1)^5*s2, ((s2^2*s1^-1)^3*s2)^2*s1^-1*s2^2*s1^-1*s2^2*s1^-1, (s2^2*s1^-1*s2^2)^3")#9072#true
AbstractRotaryPolytope([ 36, 3 ], "s1^-1*s2*s1^-2*s2*s1^3*(s2*s1^-1)^2*s1^-2*(s2^-1*s1^2)^2*s2*s1^-2*s2^-1*s1^2*s2, (s1^4*s2^-1)^3, s2*s1^2*s2^-1*s1^6*s2^-1*s1^2*s2*s1^-4, s2*s1^13*s2*s1^-11")#9072#true
